epoch:1  D_loss:0.918681  G_loss:66.081345  loss_pixel:0.6475  lr:0.0000020  
epoch: 137  D_loss: 0.236703  G_loss: 3.830503  loss_pixel: 0.0347  lr: 0.0011209  
epoch: 138  D_loss: 0.196127  G_loss: 3.628349  loss_pixel: 0.0331  lr: 0.0011409  
epoch: 139  D_loss: 0.129713  G_loss: 3.829716  loss_pixel: 0.0350  lr: 0.0011608  
epoch: 140  D_loss: 0.242194  G_loss: 4.178546  loss_pixel: 0.0352  lr: 0.0011808  
epoch: 141  D_loss: 0.170987  G_loss: 3.752812  loss_pixel: 0.0327  lr: 0.0012008  
epoch: 142  D_loss: 0.102970  G_loss: 3.796198  loss_pixel: 0.0336  lr: 0.0012208  
epoch: 143  D_loss: 0.714833  G_loss: 4.121695  loss_pixel: 0.0307  lr: 0.0012408  
epoch: 144  D_loss: 0.141563  G_loss: 3.847472  loss_pixel: 0.0337  lr: 0.0012607  
epoch: 145  D_loss: 0.251597  G_loss: 3.376230  loss_pixel: 0.0300  lr: 0.0012807  
epoch: 146  D_loss: 0.163211  G_loss: 4.171588  loss_pixel: 0.0364  lr: 0.0013007  
epoch: 147  D_loss: 0.197772  G_loss: 3.467124  loss_pixel: 0.0290  lr: 0.0013207  
epoch: 148  D_loss: 0.336753  G_loss: 3.735710  loss_pixel: 0.0339  lr: 0.0013407  
epoch: 149  D_loss: 0.145202  G_loss: 3.286171  loss_pixel: 0.0287  lr: 0.0013606  
epoch: 150  D_loss: 0.382152  G_loss: 3.999047  loss_pixel: 0.0345  lr: 0.0013806  
epoch: 151  D_loss: 0.226590  G_loss: 4.026350  loss_pixel: 0.0386  lr: 0.0014006  
epoch: 152  D_loss: 0.175861  G_loss: 3.666949  loss_pixel: 0.0318  lr: 0.0014206  
epoch: 153  D_loss: 0.257630  G_loss: 3.499167  loss_pixel: 0.0289  lr: 0.0014406  
epoch: 154  D_loss: 0.278998  G_loss: 3.491257  loss_pixel: 0.0276  lr: 0.0014605  
epoch: 155  D_loss: 0.265059  G_loss: 3.382881  loss_pixel: 0.0296  lr: 0.0014805  
epoch: 156  D_loss: 0.173972  G_loss: 3.585927  loss_pixel: 0.0296  lr: 0.0015005  
epoch: 157  D_loss: 0.091413  G_loss: 4.034353  loss_pixel: 0.0361  lr: 0.0015205  
