epoch: 1  D_loss: 0.263100  G_loss: 65.982605  loss_pixel: 0.6379  best_loss_pixel: 0.6082  
epoch: 2  D_loss: 0.072162  G_loss: 49.269424  loss_pixel: 0.4753  best_loss_pixel: 0.4494  
epoch: 3  D_loss: 0.047880  G_loss: 30.301743  loss_pixel: 0.2847  best_loss_pixel: 0.2535  
epoch: 4  D_loss: 0.084821  G_loss: 13.197847  loss_pixel: 0.1086  best_loss_pixel: 0.1401  
epoch: 5  D_loss: 0.265949  G_loss: 7.808143  loss_pixel: 0.0533  best_loss_pixel: 0.0588  
epoch: 6  D_loss: 0.258977  G_loss: 7.215939  loss_pixel: 0.0462  best_loss_pixel: 0.0587  
epoch: 7  D_loss: 0.204747  G_loss: 7.622205  loss_pixel: 0.0468  best_loss_pixel: 0.0568  
epoch: 8  D_loss: 0.205097  G_loss: 7.450155  loss_pixel: 0.0470  best_loss_pixel: 0.0500  
epoch: 9  D_loss: 0.233754  G_loss: 8.055497  loss_pixel: 0.0538  best_loss_pixel: 0.0500  
epoch: 10  D_loss: 0.152460  G_loss: 7.992584  loss_pixel: 0.0550  best_loss_pixel: 0.0500  
epoch: 11  D_loss: 0.135013  G_loss: 7.753529  loss_pixel: 0.0492  best_loss_pixel: 0.0500  
epoch: 12  D_loss: 0.114689  G_loss: 7.704570  loss_pixel: 0.0486  best_loss_pixel: 0.0500  
epoch: 13  D_loss: 0.203821  G_loss: 7.817786  loss_pixel: 0.0489  best_loss_pixel: 0.0500  
epoch: 14  D_loss: 0.172384  G_loss: 7.249969  loss_pixel: 0.0453  best_loss_pixel: 0.0500  
epoch: 15  D_loss: 0.150107  G_loss: 8.279160  loss_pixel: 0.0530  best_loss_pixel: 0.0500  
epoch: 16  D_loss: 0.266620  G_loss: 8.019204  loss_pixel: 0.0455  best_loss_pixel: 0.0478  
epoch: 17  D_loss: 0.272786  G_loss: 7.221108  loss_pixel: 0.0455  best_loss_pixel: 0.0478  
epoch: 18  D_loss: 0.211554  G_loss: 7.884558  loss_pixel: 0.0524  best_loss_pixel: 0.0478  
epoch: 19  D_loss: 0.078986  G_loss: 7.777604  loss_pixel: 0.0443  best_loss_pixel: 0.0475  
epoch: 20  D_loss: 0.154723  G_loss: 8.050430  loss_pixel: 0.0455  best_loss_pixel: 0.0475  
epoch: 21  D_loss: 0.199910  G_loss: 7.453403  loss_pixel: 0.0449  best_loss_pixel: 0.0475  
epoch: 22  D_loss: 0.102849  G_loss: 7.996584  loss_pixel: 0.0460  best_loss_pixel: 0.0475  
epoch: 23  D_loss: 0.609837  G_loss: 9.211311  loss_pixel: 0.0424  best_loss_pixel: 0.0475  
epoch: 24  D_loss: 0.992855  G_loss: 8.387712  loss_pixel: 0.0469  best_loss_pixel: 0.0475  
epoch: 25  D_loss: 0.136308  G_loss: 7.348847  loss_pixel: 0.0437  best_loss_pixel: 0.0475  
epoch: 26  D_loss: 0.167560  G_loss: 7.651224  loss_pixel: 0.0421  best_loss_pixel: 0.0475  
epoch: 27  D_loss: 0.144361  G_loss: 7.412812  loss_pixel: 0.0436  best_loss_pixel: 0.0475  
