epoch: 1  D_loss: 0.139122  G_loss: 57.232128  loss_pixel: 0.5621  best_loss_pixel: 0.5244  
epoch: 2  D_loss: 0.073535  G_loss: 39.295124  loss_pixel: 0.3831  best_loss_pixel: 0.3395  
epoch: 3  D_loss: 0.085561  G_loss: 20.209539  loss_pixel: 0.1932  best_loss_pixel: 0.1715  
epoch: 4  D_loss: 0.211139  G_loss: 8.118849  loss_pixel: 0.0780  best_loss_pixel: 0.0624  
epoch: 5  D_loss: 0.266251  G_loss: 3.922115  loss_pixel: 0.0372  best_loss_pixel: 0.0579  
epoch: 6  D_loss: 0.276774  G_loss: 4.194697  loss_pixel: 0.0383  best_loss_pixel: 0.0579  
epoch: 7  D_loss: 0.273840  G_loss: 3.981257  loss_pixel: 0.0358  best_loss_pixel: 0.0447  
epoch: 8  D_loss: 0.312126  G_loss: 3.838579  loss_pixel: 0.0342  best_loss_pixel: 0.0434  
epoch: 9  D_loss: 0.190416  G_loss: 4.250578  loss_pixel: 0.0392  best_loss_pixel: 0.0434  
epoch: 10  D_loss: 0.166402  G_loss: 4.354756  loss_pixel: 0.0391  best_loss_pixel: 0.0393  
epoch: 11  D_loss: 0.156050  G_loss: 4.133857  loss_pixel: 0.0374  best_loss_pixel: 0.0393  
epoch: 12  D_loss: 0.310129  G_loss: 4.315525  loss_pixel: 0.0365  best_loss_pixel: 0.0393  
epoch: 13  D_loss: 0.134875  G_loss: 4.113879  loss_pixel: 0.0372  best_loss_pixel: 0.0393  
epoch: 14  D_loss: 0.377430  G_loss: 4.371095  loss_pixel: 0.0426  best_loss_pixel: 0.0393  
epoch: 15  D_loss: 0.306718  G_loss: 4.435552  loss_pixel: 0.0418  best_loss_pixel: 0.0393  
epoch: 16  D_loss: 0.246173  G_loss: 4.191844  loss_pixel: 0.0397  best_loss_pixel: 0.0393  
epoch: 17  D_loss: 0.314734  G_loss: 3.939318  loss_pixel: 0.0381  best_loss_pixel: 0.0393  
epoch: 18  D_loss: 0.190019  G_loss: 4.365642  loss_pixel: 0.0382  best_loss_pixel: 0.0393  
epoch: 19  D_loss: 0.207464  G_loss: 4.431105  loss_pixel: 0.0413  best_loss_pixel: 0.0393  
epoch: 20  D_loss: 0.185899  G_loss: 4.436946  loss_pixel: 0.0363  best_loss_pixel: 0.0393  
epoch: 21  D_loss: 0.242713  G_loss: 3.992543  loss_pixel: 0.0344  best_loss_pixel: 0.0393  
epoch: 22  D_loss: 0.185583  G_loss: 4.173594  loss_pixel: 0.0370  best_loss_pixel: 0.0393  
epoch: 23  D_loss: 0.143030  G_loss: 4.623199  loss_pixel: 0.0386  best_loss_pixel: 0.0393  
epoch: 24  D_loss: 0.134094  G_loss: 4.561835  loss_pixel: 0.0403  best_loss_pixel: 0.0393  
epoch: 25  D_loss: 0.168570  G_loss: 4.439457  loss_pixel: 0.0390  best_loss_pixel: 0.0393  
epoch: 26  D_loss: 0.152303  G_loss: 4.074269  loss_pixel: 0.0360  best_loss_pixel: 0.0393  
epoch: 27  D_loss: 0.186487  G_loss: 3.667858  loss_pixel: 0.0327  best_loss_pixel: 0.0393  
epoch: 28  D_loss: 0.177755  G_loss: 4.013881  loss_pixel: 0.0363  best_loss_pixel: 0.0393  
epoch: 29  D_loss: 0.165644  G_loss: 3.659940  loss_pixel: 0.0337  best_loss_pixel: 0.0393  
